[Force Data],,,,,,,,,,,,,,,,,,,,,
NumberOfForcePlates=3,,,,,,,,,,,,,,,,,,,,,
SampleRate=2400.000000,,,,,,,,,,,,,,,,,,,,,
NumberOfSamples=12060,,,,,,,,,,,,,,,,,,,,,
#Sample,FX1,FY1,FZ1,X1,Y1,Z1,MZ1,FX2,FY2,FZ2,X2,Y2,Z2,MZ2,FX3,FY3,FZ3,X3,Y3,Z3,MZ3
1,20.7,8.75,269.32,387.81,299.88,0,2478.13,-22.53,-6.71,289.29,673.66,302.98,0,-656.14,0,0,0,1421.8,223.3,0,0
2,20.65,8.6,269.23,387.68,299.69,0,2517.05,-22.58,-6.58,288.93,673.46,303.28,0,-669.95,0,0,0,1421.8,223.3,0,0
3,20.75,8.64,269.09,387.68,299.87,0,2523.9,-22.54,-6.86,289.2,673.66,303,0,-684.58,0,0,0,1421.8,223.3,0,0
4,20.72,8.71,268.82,387.96,299.99,0,2516.79,-22.7,-7.14,289.11,673.79,302.89,0,-737.16,0,0,0,1421.8,223.3,0,0
5,20.78,8.74,269.32,387.69,299.72,0,2505.17,-22.67,-7.12,288.52,673.62,302.99,0,-738.15,0,0,0,1421.8,223.3,0,0
6,20.75,8.65,269.14,388,300.12,0,2527.47,-22.75,-7.07,288.84,673.8,302.96,0,-743.49,0,0,0,1421.8,223.3,0,0
7,20.71,8.64,269.36,387.69,299.83,0,2529.41,-22.86,-7.02,289.11,674.04,302.82,0,-729.11,0,0,0,1421.8,223.3,0,0
8,20.68,8.71,269.14,387.82,299.89,0,2505.06,-22.71,-7.1,289.11,673.93,302.7,0,-732.74,0,0,0,1421.8,223.3,0,0
9,20.76,8.65,268.87,388.08,300.08,0,2530.7,-22.71,-7.02,289.1,673.96,302.68,0,-700.08,0,0,0,1421.8,223.3,0,0
10,20.64,8.75,269.14,387.83,300.12,0,2506.7,-22.66,-6.95,288.88,673.82,302.83,0,-698.8,0,0,0,1421.8,223.3,0,0
11,20.71,8.74,269.55,387.7,299.86,0,2495.47,-22.69,-6.95,288.61,673.56,302.91,0,-705.15,0,0,0,1421.8,223.3,0,0
