File_Type:,Analog R/C ASCII,Generation#:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board_Type:,NI USB-6225,Polarity:,Bipolar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial_Name:,force testing,Trial#:,1,Duration(Sec.):,9.999583,#Channels:,30,,,,,,,,,,,,,,,,,,,,,,,
BitDepth:,16,PreciseRate:,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,F2X,F2Y,F2Z,M2X,M2Y,M2Z,F1X,F1Y,F1Z,M1X,M1Y,M1Z,LMG,RMG,LRF,LTA,RTA,RRF,LVL,RVL,LMH,RMH,Lspare,Rspare,F3X,F3Y,F3Z,M3X,M3Y,M3Z
Rate,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
Range,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,250,250,250,250,250,250,250,250,250,250,250,250,10000,10000,10000,10000,10000,10000
0,96,-3119,6975,2902,4086,804,-109,3290,5345,-3977,4417,-1075,-1584,2977,1513,-1657,1428,470,66,491,2862,1632,670,2062,-15,-6,-23,-21,27,-31
0.000417,72,-3117,6972,2906,4093,801,-108,3286,5350,-3969,4412,-1079,-1614,3053,1547,-1665,1483,406,-27,538,2926,1683,687,2079,-22,-7,1,-7,26,-23
0.000833,81,-3110,6983,2908,4098,793,-116,3289,5356,-3972,4417,-1090,-1636,3011,1423,-1665,1470,411,134,496,2883,1560,640,2100,-19,-19,-7,-16,22,-35
0.00125,85,-3124,6971,2897,4088,799,-123,3288,5352,-3973,4410,-1080,-1593,3028,1496,-1699,1462,428,-65,462,2841,1577,662,2040,-3,-20,-13,-16,4,-33
0.001667,53,-3138,6976,2866,4079,804,-120,3283,5350,-3968,4407,-1077,-1699,2968,1483,-1742,1462,436,-14,513,2862,1602,708,2045,-9,-14,-7,-21,9,-41
0.002083,51,-3137,6973,2868,4072,810,-113,3288,5345,-3969,4410,-1083,-1580,3062,1594,-1627,1462,525,-6,542,2917,1653,657,2062,-9,-9,-8,-26,13,-36
0.0025,53,-3124,6975,2866,4068,803,-112,3286,5343,-3977,4409,-1087,-1538,3049,1657,-1580,1534,483,53,564,2943,1666,747,2096,-16,-9,-9,-25,21,-36
0.002917,52,-3128,6967,2862,4083,800,-104,3284,5338,-3974,4402,-1080,-1542,3100,1602,-1563,1500,419,62,598,2926,1713,768,2092,-19,-4,-6,-16,11,-38
0.003333,53,-3121,6969,2866,4077,801,-104,3289,5341,-3970,4413,-1082,-1533,3083,1615,-1584,1513,491,57,559,2968,1666,764,2096,-19,-2,-3,-14,13,-40
0.00375,52,-3131,6969,2871,4081,808,-103,3287,5335,-3974,4409,-1078,-1631,3092,1598,-1653,1530,491,6,534,2870,1594,687,2092,-16,-11,2,-17,15,-30
0.004167,49,-3139,6978,2869,4080,800,-115,3290,5348,-3972,4406,-1081,-1584,3028,1509,-1699,1398,419,2,479,2892,1606,679,2032,-25,-8,-9,-17,19,-38
0.004583,43,-3138,6971,2866,4076,807,-116,3284,5335,-3970,4399,-1082,-1610,3024,1555,-1661,1402,470,-40,572,2849,1619,691,2151,-19,-13,-2,-22,13,-37
0.005,71,-3135,6976,2875,4087,793,-121,3291,5335,-3962,4408,-1091,-1614,3062,1521,-1653,1406,517,19,568,2845,1666,734,2087,-12,-11,-7,-13,17,-31
0.005417,66,-3128,6990,2882,4090,801,-115,3274,5335,-3966,4401,-1082,-1538,3066,1615,-1601,1521,530,147,551,2951,1594,670,2058,-13,-7,-7,-15,-1,-30
0.005833,72,-3123,6984,2882,4085,800,-122,3279,5327,-3970,4395,-1078,-1546,3126,1577,-1589,1521,521,-6,530,2921,1709,755,2151,-19,4,-8,-22,18,-30
0.00625,79,-3121,6973,2889,4088,801,-112,3282,5333,-3975,4402,-1076,-1631,3053,1577,-1584,1534,479,19,530,2926,1713,662,2049,-20,-13,-11,-17,20,-53
0.006667,71,-3122,6979,2888,4093,807,-102,3282,5329,-3967,4394,-1075,-1589,3036,1560,-1623,1470,470,10,470,2892,1615,696,2023,-12,-3,-12,-13,8,-30
0.007083,77,-3119,6974,2889,4080,800,-107,3279,5327,-3968,4397,-1087,-1601,3041,1496,-1670,1462,428,27,559,2815,1632,687,1989,-25,4,-16,-15,22,-29
0.0075,68,-3121,6979,2896,4086,805,-110,3291,5339,-3970,4399,-1063,-1601,2981,1483,-1670,1411,432,66,504,2772,1474,649,2032,-33,11,-6,-18,24,-8
0.007917,98,-3122,6983,2891,4104,801,-118,3282,5335,-3966,4396,-1086,-1610,3049,1470,-1789,1347,385,-78,436,2879,1572,674,2053,-35,5,-11,-23,15,-34
0.008333,78,-3131,6985,2901,4094,800,-108,3279,5334,-3952,4393,-1072,-1653,3117,1500,-1648,1436,496,-6,564,2887,1696,679,2096,-11,-15,-9,-26,22,-29
0.00875,87,-3113,6983,2902,4105,812,-112,3272,5332,-3958,4385,-1075,-1550,2990,1560,-1636,1462,508,-57,525,2866,1657,708,2100,-16,-13,-19,-9,17,-31
0.009167,84,-3131,6986,2897,4103,800,-109,3284,5329,-3958,4389,-1071,-1636,3070,1551,-1644,1479,415,-23,534,2824,1649,649,1913,-12,-20,-8,-14,16,-36
0.009583,83,-3126,6989,2887,4099,808,-112,3274,5334,-3957,4395,-1073,-1580,3062,1543,-1640,1491,462,-14,496,2875,1623,691,2066,-11,-17,-7,-17,17,-31
0.01,60,-3141,6990,2869,4082,808,-103,3279,5330,-3966,4389,-1077,-1627,3053,1585,-1678,1474,483,2,576,2858,1632,721,2130,-6,-9,-5,-11,21,-34
0.010417,62,-3135,6982,2872,4088,805,-106,3282,5325,-3964,4389,-1072,-1572,3100,1585,-1593,1491,555,104,564,2858,1606,598,2109,-9,0,-8,-16,9,-26
0.010833,57,-3139,6973,2868,4076,803,-110,3283,5331,-3963,4390,-1079,-1542,3058,1594,-1687,1394,487,74,576,2943,1679,747,2126,-16,-9,-3,-18,22,-35
0.01125,49,-3143,6976,2874,4080,800,-115,3285,5328,-3958,4390,-1073,-1601,3028,1560,-1644,1487,449,2,551,2900,1636,717,2028,-13,-6,-4,-16,26,-33
0.011667,42,-3142,6984,2871,4077,800,-103,3274,5325,-3956,4385,-1074,-1538,3041,1526,-1687,1457,432,2,530,2921,1615,734,2036,-25,-9,-13,-17,22,-35
0.012083,49,-3137,6980,2869,4082,803,-106,3271,5324,-3974,4390,-1069,-1648,3041,1509,-1725,1466,491,-23,564,2938,1585,674,1964,-25,1,-16,-17,15,-31
0.0125,46,-3150,6985,2865,4090,806,-113,3284,5330,-3966,4389,-1079,-1559,3070,1611,-1661,1470,445,-91,462,2887,1645,649,2083,-20,-9,-8,-12,9,-34
0.012917,57,-3163,6979,2873,4087,800,-104,3271,5331,-3958,4385,-1081,-1580,2998,1564,-1640,1470,428,32,504,2947,1734,670,2096,-16,-6,-8,-19,13,-31
