Export:,Graph,,,
File:,walk,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
1,2026-03-27,09:20:48,0,455.969465
2,2026-03-27,09:20:48,0,458.094174
3,2026-03-27,09:20:48,0,456.124864
4,2026-03-27,09:20:48,0,458.993918
5,2026-03-27,09:20:48,0,457.385938
6,2026-03-27,09:20:48,0,458.769898
7,2026-03-27,09:20:48,0,460.034603
8,2026-03-27,09:20:48,0,461.29208
9,2026-03-27,09:20:48,0,460.08517
10,2026-03-27,09:20:48,0,463.832316
11,2026-03-27,09:20:48,0,461.696781
12,2026-03-27,09:20:48,0,461.407704
13,2026-03-27,09:20:48,0,460.536874
14,2026-03-27,09:20:48,0,460.200828
15,2026-03-27,09:20:48,0,462.068971
16,2026-03-27,09:20:48,0,462.025599
17,2026-03-27,09:20:48,0,461.0572
18,2026-03-27,09:20:48,0,460.381476
19,2026-03-27,09:20:48,0,460.789809
20,2026-03-27,09:20:48,0,460.395933
21,2026-03-27,09:20:48,0,461.295677
22,2026-03-27,09:20:48,0,459.420305
23,2026-03-27,09:20:48,0,456.984833
24,2026-03-27,09:20:48,0,459.073433
25,2026-03-27,09:20:48,0,458.85301
26,2026-03-27,09:20:48,0,459.835867
27,2026-03-27,09:20:48,0,459.756352
28,2026-03-27,09:20:48,0,458.75181
29,2026-03-27,09:20:48,0,458.224255
30,2026-03-27,09:20:48,0,458.068891
31,2026-03-27,09:20:48,0,455.882755
32,2026-03-27,09:20:48,0,454.552993
33,2026-03-27,09:20:48,0,457.46905
34,2026-03-27,09:20:48,0,457.049891
35,2026-03-27,09:20:48,0,456.775271
36,2026-03-27,09:20:48,0,456.937864
37,2026-03-27,09:20:48,0,456.656015
38,2026-03-27,09:20:48,0,455.553938
39,2026-03-27,09:20:48,0,454.993837
40,2026-03-27,09:20:48,0,454.404857
41,2026-03-27,09:20:48,0,455.120321
42,2026-03-27,09:20:48,0,452.99921
43,2026-03-27,09:20:48,0,454.227806
44,2026-03-27,09:20:48,0,454.451826
45,2026-03-27,09:20:48,0,456.334426
46,2026-03-27,09:20:48,0,457.649732
47,2026-03-27,09:20:48,0,457.367883
48,2026-03-27,09:20:48,0,456.381395
49,2026-03-27,09:20:48,0,457.378709
50,2026-03-27,09:20:48,0,455.40217
51,2026-03-27,09:20:48,0,455.521392
52,2026-03-27,09:20:48,0,455.785186
53,2026-03-27,09:20:48,0,456.330829
54,2026-03-27,09:20:48,0,456.128461
55,2026-03-27,09:20:48,0,457.263085
56,2026-03-27,09:20:48,0,454.581907
57,2026-03-27,09:20:49,0,456.356112
58,2026-03-27,09:20:49,0,457.324511
