Export:,Graph,,,
File:,weight-shift1,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
1,2026-03-27,09:17:51,194.041861,282.932549
2,2026-03-27,09:17:51,194.041861,282.668772
3,2026-03-27,09:17:51,193.846739,282.769939
4,2026-03-27,09:17:51,193.449266,282.856665
5,2026-03-27,09:17:51,193.965977,280.887338
6,2026-03-27,09:17:51,194.894636,282.386923
7,2026-03-27,09:17:51,194.551361,281.133061
8,2026-03-27,09:17:51,195.469176,279.142048
9,2026-03-27,09:17:51,194.457405,278.910782
10,2026-03-27,09:17:51,194.87295,277.873728
11,2026-03-27,09:17:51,194.782626,276.937841
12,2026-03-27,09:17:51,192.27127,276.955913
13,2026-03-27,09:17:51,192.112291,276.688521
14,2026-03-27,09:17:51,191.006565,274.823992
15,2026-03-27,09:17:51,191.530522,274.719194
16,2026-03-27,09:17:51,190.25136,274.664996
17,2026-03-27,09:17:51,190.609092,274.874576
18,2026-03-27,09:17:51,189.488926,272.728181
19,2026-03-27,09:17:51,190.262203,273.331636
20,2026-03-27,09:17:51,190.030937,273.205169
21,2026-03-27,09:17:51,189.857501,274.527686
22,2026-03-27,09:17:51,188.701192,271.756168
23,2026-03-27,09:17:51,191.776228,271.586346
24,2026-03-27,09:17:51,193.05539,271.568274
25,2026-03-27,09:17:51,193.01565,270.957608
26,2026-03-27,09:17:51,194.554975,271.723656
27,2026-03-27,09:17:51,195.631786,271.871809
28,2026-03-27,09:17:51,194.041861,272.937761
29,2026-03-27,09:17:51,196.195484,272.547516
30,2026-03-27,09:17:51,195.967833,273.1329
31,2026-03-27,09:17:51,195.812451,272.32348
32,2026-03-27,09:17:51,197.648083,272.72097
33,2026-03-27,09:17:51,194.258669,272.843822
34,2026-03-27,09:17:51,196.325565,273.653226
35,2026-03-27,09:17:51,193.554047,272.677598
36,2026-03-27,09:17:51,196.701352,273.161797
37,2026-03-27,09:17:51,194.956062,273.179869
38,2026-03-27,09:17:52,195.100601,274.751723
39,2026-03-27,09:17:52,197.055471,275.134739
40,2026-03-27,09:17:52,196.282194,274.563813
41,2026-03-27,09:17:52,196.553199,276.197093
42,2026-03-27,09:17:52,197.207238,275.506928
43,2026-03-27,09:17:52,196.61824,274.459031
44,2026-03-27,09:17:52,197.846819,274.003729
45,2026-03-27,09:17:52,197.872119,275.976671
46,2026-03-27,09:17:52,198.103368,275.933316
47,2026-03-27,09:17:52,199.982371,274.516843
48,2026-03-27,09:17:52,200.907398,275.373233
49,2026-03-27,09:17:52,201.145892,274.632468
50,2026-03-27,09:17:52,202.125134,273.552059
51,2026-03-27,09:17:52,203.472951,272.775167
52,2026-03-27,09:17:52,203.534378,271.496005
53,2026-03-27,09:17:52,202.569593,270.509534
54,2026-03-27,09:17:52,202.743029,269.660374
55,2026-03-27,09:17:52,204.81354,272.182555
56,2026-03-27,09:17:52,206.688912,270.242143
57,2026-03-27,09:17:52,209.417059,271.112972
58,2026-03-27,09:17:52,210.49387,267.871729
59,2026-03-27,09:17:52,210.985298,270.148188
60,2026-03-27,09:17:52,210.63118,266.108367
61,2026-03-27,09:17:52,211.368314,267.882555
62,2026-03-27,09:17:52,209.034043,267.409198
63,2026-03-27,09:17:52,209.088241,266.426342
64,2026-03-27,09:17:52,211.162349,267.05508
65,2026-03-27,09:17:52,211.700763,265.866258
66,2026-03-27,09:17:52,212.42344,266.784074
67,2026-03-27,09:17:52,212.250004,264.771392
