Export:,Graph,,,
File:,walk,,,
Units:,N/cm²,,,
Graphed Value:,Peak Pressure,,,
Frame,Date,Time,Left Insole,Right Insole
1,2026-03-27,09:20:48,0,8.265629
2,2026-03-27,09:20:48,0,8.265629
3,2026-03-27,09:20:48,0,8.265629
4,2026-03-27,09:20:48,0,8.265629
5,2026-03-27,09:20:48,0,8.265629
6,2026-03-27,09:20:48,0,8.265629
7,2026-03-27,09:20:48,0,8.254856
8,2026-03-27,09:20:48,0,8.265629
9,2026-03-27,09:20:48,0,8.254856
10,2026-03-27,09:20:48,0,8.48917
11,2026-03-27,09:20:48,0,8.254856
12,2026-03-27,09:20:48,0,8.48917
13,2026-03-27,09:20:48,0,8.254856
14,2026-03-27,09:20:48,0,8.254856
15,2026-03-27,09:20:48,0,8.254856
16,2026-03-27,09:20:48,0,8.254856
17,2026-03-27,09:20:48,0,8.254856
18,2026-03-27,09:20:48,0,8.254856
19,2026-03-27,09:20:48,0,8.254856
20,2026-03-27,09:20:48,0,8.254856
21,2026-03-27,09:20:48,0,8.254856
22,2026-03-27,09:20:48,0,8.254856
23,2026-03-27,09:20:48,0,8.254856
24,2026-03-27,09:20:48,0,8.254856
25,2026-03-27,09:20:48,0,8.254856
26,2026-03-27,09:20:48,0,8.254856
27,2026-03-27,09:20:48,0,8.254856
28,2026-03-27,09:20:48,0,8.265629
29,2026-03-27,09:20:48,0,8.254856
30,2026-03-27,09:20:48,0,8.254856
31,2026-03-27,09:20:48,0,8.114806
32,2026-03-27,09:20:48,0,8.265629
33,2026-03-27,09:20:48,0,8.265629
34,2026-03-27,09:20:48,0,8.265629
35,2026-03-27,09:20:48,0,8.265629
36,2026-03-27,09:20:48,0,8.486476
37,2026-03-27,09:20:48,0,8.265629
38,2026-03-27,09:20:48,0,8.486476
39,2026-03-27,09:20:48,0,8.486476
40,2026-03-27,09:20:48,0,8.486476
41,2026-03-27,09:20:48,0,8.486476
42,2026-03-27,09:20:48,0,8.486476
43,2026-03-27,09:20:48,0,8.486476
44,2026-03-27,09:20:48,0,8.486476
45,2026-03-27,09:20:48,0,8.712711
46,2026-03-27,09:20:48,0,8.712711
47,2026-03-27,09:20:48,0,8.486476
48,2026-03-27,09:20:48,0,8.712711
49,2026-03-27,09:20:48,0,8.486476
50,2026-03-27,09:20:48,0,8.486476
51,2026-03-27,09:20:48,0,8.486476
52,2026-03-27,09:20:48,0,8.712711
53,2026-03-27,09:20:48,0,8.486476
54,2026-03-27,09:20:48,0,8.712711
55,2026-03-27,09:20:48,0,8.486476
56,2026-03-27,09:20:48,0,8.486476
57,2026-03-27,09:20:49,0,8.712711
58,2026-03-27,09:20:49,0,8.588821
59,2026-03-27,09:20:49,0,8.712711
60,2026-03-27,09:20:49,0,8.486476
61,2026-03-27,09:20:49,0,8.712711
62,2026-03-27,09:20:49,0,8.48917
63,2026-03-27,09:20:49,0,8.48917
64,2026-03-27,09:20:49,0,8.712711
65,2026-03-27,09:20:49,0,8.712711
66,2026-03-27,09:20:49,0,8.712711
67,2026-03-27,09:20:49,0,8.712711
68,2026-03-27,09:20:49,0,8.712711
69,2026-03-27,09:20:49,0,8.712711
70,2026-03-27,09:20:49,0,8.72079
71,2026-03-27,09:20:49,0,8.955105
72,2026-03-27,09:20:49,0,8.955105
73,2026-03-27,09:20:49,0,9.027823
74,2026-03-27,09:20:49,0,9.184032
75,2026-03-27,09:20:49,0,9.184032
76,2026-03-27,09:20:49,0,9.184032
77,2026-03-27,09:20:49,0,9.25675
78,2026-03-27,09:20:49,0,9.418346
79,2026-03-27,09:20:49,0,9.418346
80,2026-03-27,09:20:49,0,9.418346
81,2026-03-27,09:20:49,0,9.418346
82,2026-03-27,09:20:49,0,9.418346
83,2026-03-27,09:20:49,0,9.418346
84,2026-03-27,09:20:49,0,9.65266
85,2026-03-27,09:20:49,0,9.65266
86,2026-03-27,09:20:49,0,9.65266
87,2026-03-27,09:20:49,0,9.65266
88,2026-03-27,09:20:49,0,9.65266
89,2026-03-27,09:20:49,0,9.65266
90,2026-03-27,09:20:49,0,9.65266
91,2026-03-27,09:20:49,0,9.65266
92,2026-03-27,09:20:49,0,9.418346
93,2026-03-27,09:20:49,0,9.418346
94,2026-03-27,09:20:49,0,9.418346
95,2026-03-27,09:20:49,0,9.418346
96,2026-03-27,09:20:49,0,9.184032
97,2026-03-27,09:20:49,0,9.184032
98,2026-03-27,09:20:49,0,9.418346
99,2026-03-27,09:20:49,0,9.418346
100,2026-03-27,09:20:49,0,9.418346
101,2026-03-27,09:20:49,0,9.418346
102,2026-03-27,09:20:49,0,9.418346
103,2026-03-27,09:20:49,0,9.418346
104,2026-03-27,09:20:49,0,9.418346
105,2026-03-27,09:20:49,0,9.418346
106,2026-03-27,09:20:49,0,9.418346
107,2026-03-27,09:20:49,0,9.418346
108,2026-03-27,09:20:49,0,9.418346
109,2026-03-27,09:20:49,0,9.418346
110,2026-03-27,09:20:49,0,9.418346
111,2026-03-27,09:20:49,0,9.418346
112,2026-03-27,09:20:49,0,9.418346
113,2026-03-27,09:20:49,0,9.418346
114,2026-03-27,09:20:49,0,9.418346
115,2026-03-27,09:20:49,0,9.553009
116,2026-03-27,09:20:49,0,9.553009
117,2026-03-27,09:20:49,0,9.553009
118,2026-03-27,09:20:49,0,9.553009
119,2026-03-27,09:20:49,0,9.553009
120,2026-03-27,09:20:49,0,9.553009
121,2026-03-27,09:20:49,0,9.655353
122,2026-03-27,09:20:49,0,9.65266
123,2026-03-27,09:20:49,0,9.65266
124,2026-03-27,09:20:49,0,9.655353
125,2026-03-27,09:20:49,0,9.655353
126,2026-03-27,09:20:49,0,9.655353
127,2026-03-27,09:20:49,0,9.655353
128,2026-03-27,09:20:49,0,9.655353
129,2026-03-27,09:20:49,0,9.65266
130,2026-03-27,09:20:49,0,9.655353
131,2026-03-27,09:20:49,0,9.65266
132,2026-03-27,09:20:49,0,9.655353
133,2026-03-27,09:20:49,0,9.655353
134,2026-03-27,09:20:49,0,9.553009
135,2026-03-27,09:20:49,0,9.553009
136,2026-03-27,09:20:49,0,9.418346
137,2026-03-27,09:20:49,0,9.553009
138,2026-03-27,09:20:49,0,9.655353
139,2026-03-27,09:20:49,0,9.655353
140,2026-03-27,09:20:49,0,9.553009
141,2026-03-27,09:20:49,0,9.655353
142,2026-03-27,09:20:49,0,9.65266
143,2026-03-27,09:20:49,0,9.655353
144,2026-03-27,09:20:49,0,9.553009
145,2026-03-27,09:20:49,0,9.655353
146,2026-03-27,09:20:49,0,9.655353
147,2026-03-27,09:20:49,0,9.418346
148,2026-03-27,09:20:49,0,9.418346
149,2026-03-27,09:20:49,0,9.321388
