sample,right_foot,left_foot
1,269.32,289.29
2,269.23,288.93
3,269.09,289.2
4,268.82,289.11
5,269.32,288.52
6,269.14,288.84
7,269.36,289.11
8,269.14,289.11
9,268.87,289.1
10,269.14,288.88
11,269.55,288.61
12,269.77,288.79
13,269.5,288.84
14,269.5,288.52
15,269.5,289.15
16,269.45,288.56
17,269.77,288.7
18,269.54,289.11
19,270.27,288.7
20,269.77,288.52
21,269.46,288.93
22,269.41,288.79
23,269.64,288.97
24,269.64,288.7
25,269.95,288.52
26,269.77,288.65
27,269.59,289.01
28,269.32,288.43
29,269.41,288.47
30,269.82,288.92
31,270.0,288.83
32,269.77,288.52
33,269.5,288.88
34,269.77,288.43
35,269.63,288.65
36,269.72,288.79
37,269.9,288.52
38,269.95,288.52
39,270.0,288.43
40,270.0,288.52
41,269.77,288.52
42,269.45,288.56
43,269.54,288.34
44,269.95,288.56
45,270.04,288.56
46,269.81,288.51
47,270.04,288.29
48,269.95,288.42
49,269.59,288.65
50,269.86,288.56
51,270.18,288.29
52,269.9,288.78
53,269.9,288.24
54,269.59,288.29
55,269.77,288.38
56,269.95,288.56
57,269.95,288.38
58,270.0,288.83
59,269.91,288.65
60,269.81,288.52
61,270.31,288.52
62,270.0,288.79
63,269.59,288.52
64,269.81,288.42
65,270.08,288.65
66,270.0,288.47
67,270.04,288.92
68,269.63,288.56
69,269.59,288.2
70,269.95,288.42
71,269.63,288.33
72,269.95,288.42
73,270.08,288.02
74,269.77,288.33
75,269.5,288.6
76,270.13,288.51
77,270.13,288.7
78,270.04,288.79
79,270.04,288.34
80,270.04,288.97
81,269.9,288.56
82,269.77,288.56
83,270.26,288.11
84,270.04,288.56
85,270.22,288.56
86,270.04,288.33
87,270.0,288.51
88,270.08,288.56
89,270.04,288.33
90,270.0,288.47
91,269.81,288.24
92,270.35,288.6
93,270.17,288.87
94,269.99,288.88
95,270.04,288.25
96,269.95,288.34
97,270.26,288.38
98,270.49,288.65
99,270.08,288.47
100,270.53,288.79
101,270.53,288.79
102,270.49,288.83
103,270.04,288.88
104,270.13,288.83
105,270.04,288.15
106,270.13,288.15
107,269.9,288.92
108,269.9,288.69
109,270.13,288.42
110,270.13,288.69
111,270.31,289.06
112,270.26,288.97
113,270.58,288.92
114,269.94,288.88
115,269.85,288.65
116,270.08,289.24
117,269.95,288.88
118,270.22,288.61
119,270.35,288.97
120,270.08,289.06
121,269.86,289.06
122,269.81,288.43
123,270.08,289.06
124,270.31,288.92
125,270.21,289.33
126,269.99,288.65
127,269.77,288.88
128,270.22,289.1
129,270.17,289.55
130,270.17,289.55
131,270.13,288.61
132,269.95,288.65
133,269.95,289.01
134,270.08,288.92
135,270.4,288.88
136,270.48,288.92
137,270.12,289.01
138,269.58,289.01
139,269.99,289.24
140,270.39,289.15
141,270.17,289.29
142,270.13,289.38
143,270.26,289.29
144,270.22,289.06
145,270.58,289.24
146,270.3,289.19
