sample,left_foot,right_foot
1,234.05,217.51
2,234.51,216.84
3,235.02,217.42
4,235.59,216.71
5,233.57,216.46
6,233.44,216.3
7,234.47,217.07
8,235.55,216.91
9,234.03,217.45
10,235.48,217.7
11,236.0,218.01
12,233.8,216.66
13,235.01,217.42
14,234.6,216.51
15,235.31,217.03
16,234.54,217.63
17,235.64,219.05
18,234.81,218.29
19,233.74,216.08
20,234.32,217.51
21,235.01,217.1
22,236.93,217.45
23,234.84,218.02
24,234.73,217.83
25,236.03,218.47
26,235.12,217.08
27,235.55,218.85
28,235.89,217.62
29,236.11,218.06
30,234.61,217.91
31,237.05,219.03
32,236.39,219.22
33,236.06,218.56
34,234.71,219.05
35,235.15,219.03
36,236.34,219.56
37,235.91,218.71
38,234.32,218.65
39,235.6,218.86
40,233.28,218.47
41,233.51,219.22
42,234.92,217.0
43,233.71,218.81
44,234.56,218.22
45,233.02,219.53
46,234.17,218.43
47,233.07,218.86
48,233.66,218.06
49,232.74,217.88
50,234.61,217.26
51,232.89,217.67
52,232.24,217.44
53,233.76,218.04
54,233.03,217.47
55,232.92,219.42
56,233.97,218.39
57,232.71,219.63
58,232.28,218.44
59,230.99,216.65
60,232.89,217.8
61,232.83,218.21
62,234.18,217.39
63,233.06,218.25
64,234.28,218.63
65,234.87,217.9
66,233.1,216.8
67,234.19,217.99
68,233.3,217.5
69,234.81,217.68
70,235.18,217.86
71,233.45,217.93
72,234.03,217.66
73,235.46,219.03
74,234.19,217.98
75,235.12,217.43
76,233.83,217.6
77,235.26,218.44
78,236.75,216.08
79,235.0,217.45
80,235.08,218.43
81,236.24,218.26
82,236.36,217.6
83,236.28,218.1
84,232.97,218.04
85,236.29,218.28
86,234.28,217.54
87,234.97,216.35
88,234.63,217.31
89,236.19,218.5
90,235.83,216.88
91,235.86,216.78
92,236.31,218.09
93,236.1,217.14
94,237.81,217.87
95,234.47,217.5
96,237.93,217.35
97,236.73,216.69
98,236.24,217.15
99,235.99,216.66
100,236.78,216.93
101,233.54,216.75
102,235.78,216.76
103,235.61,216.32
104,235.69,217.38
105,235.16,216.33
106,234.75,216.58
107,235.77,216.54
108,234.51,216.19
109,233.36,216.02
110,234.22,215.56
111,234.68,215.45
112,235.57,215.78
113,235.77,214.39
114,235.72,215.06
115,235.46,215.7
116,236.44,214.83
117,235.07,215.44
118,235.89,214.99
119,236.23,215.43
120,236.68,215.17
121,236.22,216.55
122,235.3,215.92
123,237.52,216.15
124,238.48,215.38
125,235.19,217.19
126,237.48,215.92
127,235.85,215.76
128,236.72,215.58
129,237.28,215.99
130,237.55,215.19
131,238.39,216.21
132,236.79,214.97
133,238.86,216.81
134,237.07,216.05
135,236.74,216.01
136,237.14,215.62
137,235.55,215.38
138,237.78,216.61
139,237.18,215.81
140,238.28,216.7
141,236.34,215.95
142,238.14,217.19
143,238.08,215.86
144,238.9,216.48
145,235.94,216.26
146,238.96,215.97
147,237.01,216.02
148,237.16,215.36
149,236.56,215.84
150,235.69,216.46
151,237.33,216.53
152,236.23,216.55
153,235.51,215.57
154,237.31,216.37
155,235.7,215.86
156,235.79,215.15
157,235.53,215.81
158,236.42,215.53
159,233.24,215.94
160,236.36,215.25
161,233.57,215.93
162,234.01,216.2
163,236.73,215.19
164,235.1,215.83
165,234.87,214.89
166,234.86,215.2
167,236.86,215.81
168,237.19,215.74
169,236.76,216.4
170,236.58,215.55
171,235.6,215.66
172,237.16,216.52
173,236.23,216.22
174,235.96,216.42
175,235.89,216.59
176,234.6,214.79
177,237.05,215.83
178,237.18,216.02
179,237.32,216.62
180,237.08,216.59
181,237.88,214.86
182,238.69,215.42
183,238.31,216.04
184,237.5,217.19
185,237.12,216.04
186,236.83,216.97
187,237.78,217.18
188,236.93,215.58
189,237.73,216.24
190,237.76,217.19
191,237.11,216.81
192,235.41,215.84
193,235.37,216.76
194,236.78,216.03
195,234.94,216.6
196,237.32,216.82
197,236.67,216.63
198,235.86,216.41
199,235.36,216.49
