sample,left_foot,right_foot
1,0.0,455.97
2,0.0,458.09
3,0.0,456.12
4,0.0,458.99
5,0.0,457.39
6,0.0,458.77
7,0.0,460.03
8,0.0,461.29
9,0.0,460.09
10,0.0,463.83
11,0.0,461.7
12,0.0,461.41
13,0.0,460.54
14,0.0,460.2
15,0.0,462.07
16,0.0,462.03
17,0.0,461.06
18,0.0,460.38
19,0.0,460.79
20,0.0,460.4
21,0.0,461.3
22,0.0,459.42
23,0.0,456.98
24,0.0,459.07
25,0.0,458.85
26,0.0,459.84
27,0.0,459.76
28,0.0,458.75
29,0.0,458.22
30,0.0,458.07
31,0.0,455.88
32,0.0,454.55
33,0.0,457.47
34,0.0,457.05
35,0.0,456.78
36,0.0,456.94
37,0.0,456.66
38,0.0,455.55
39,0.0,454.99
40,0.0,454.4
41,0.0,455.12
42,0.0,453.0
43,0.0,454.23
44,0.0,454.45
45,0.0,456.33
46,0.0,457.65
47,0.0,457.37
48,0.0,456.38
49,0.0,457.38
50,0.0,455.4
51,0.0,455.52
52,0.0,455.79
53,0.0,456.33
54,0.0,456.13
55,0.0,457.26
56,0.0,454.58
57,0.0,456.36
58,0.0,457.32
59,0.0,455.75
60,0.0,455.51
61,0.0,456.08
62,0.0,457.26
63,0.0,457.42
64,0.0,457.96
65,0.0,458.3
66,0.0,459.69
67,0.0,460.36
68,0.0,459.91
69,0.0,458.91
70,0.0,460.68
71,0.0,461.08
72,0.0,459.02
73,0.0,457.51
74,0.0,456.57
75,0.0,456.46
76,0.0,453.32
77,0.0,455.77
78,0.0,454.81
79,0.0,453.67
80,0.0,457.64
81,0.0,455.99
82,0.0,456.09
83,0.0,456.97
84,0.0,454.52
85,0.0,455.12
86,0.0,455.93
87,0.0,456.05
88,0.0,457.15
89,0.0,458.18
90,0.0,458.91
91,0.0,459.28
92,0.0,459.7
93,0.0,457.96
94,0.0,457.66
95,0.0,458.05
96,0.0,458.64
97,0.0,458.78
98,0.0,458.9
99,0.0,459.32
100,0.0,456.79
101,0.0,456.27
102,0.0,455.36
103,0.0,456.4
104,0.0,455.04
105,0.0,454.48
106,0.0,451.97
107,0.0,453.11
108,0.0,453.52
109,0.0,451.37
110,0.0,453.88
111,0.0,452.17
112,0.0,451.19
113,0.0,450.73
114,0.0,448.93
115,0.0,447.79
116,0.0,449.66
117,0.0,446.97
118,0.0,447.82
119,0.0,447.47
120,0.0,447.06
121,0.0,446.38
122,0.0,444.35
123,0.0,445.36
124,0.0,445.51
125,0.0,444.64
126,0.0,446.48
127,0.0,446.94
128,0.0,450.42
129,0.0,450.73
130,0.0,450.15
131,0.0,449.81
132,0.0,448.48
133,0.0,445.6
134,0.0,446.68
135,0.0,450.58
136,0.0,447.68
137,0.0,450.74
138,0.0,453.87
139,0.0,454.24
140,0.0,456.82
141,0.0,458.43
142,0.0,459.17
143,0.0,460.2
144,0.0,461.42
145,0.0,461.86
146,0.0,460.63
147,0.0,457.11
148,0.0,455.73
149,0.0,454.98
150,0.0,452.34
151,0.0,453.0
152,0.0,453.44
153,0.0,449.94
154,0.0,451.12
155,0.0,450.09
156,0.0,448.07
157,0.0,447.04
158,0.0,444.69
159,0.0,446.2
160,0.0,448.23
161,0.0,445.12
162,0.0,444.64
163,0.0,447.82
164,0.0,446.7
165,0.0,447.19
166,0.0,445.67
167,0.0,444.28
168,0.0,442.18
169,0.0,441.59
170,0.0,438.66
171,0.0,443.59
172,0.0,443.01
173,0.0,443.42
174,0.0,447.26
175,0.0,449.08
176,0.0,449.23
177,0.0,449.86
178,0.0,451.66
179,0.0,450.44
180,0.0,450.93
181,0.0,447.95
182,0.0,448.28
183,0.0,446.12
184,0.0,444.18
185,0.0,444.87
186,0.0,441.55
187,0.0,444.81
188,0.0,445.65
189,0.0,444.93
190,0.0,444.55
191,0.0,447.06
192,0.0,445.79
193,0.0,446.21
194,0.0,447.55
195,0.0,447.3
196,0.0,447.13
197,0.0,445.83
198,0.0,446.27
199,0.0,447.88
200,0.0,445.9
201,0.0,446.08
202,0.0,446.82
203,0.0,446.72
204,0.0,444.46
205,0.0,442.2
206,0.0,442.58
207,0.0,437.3
208,0.0,437.18
209,0.0,435.13
210,0.0,435.18
211,0.0,437.15
212,0.0,438.88
213,0.0,441.76
214,0.0,443.72
215,0.0,444.9
216,0.0,446.09
217,0.0,447.08
218,0.0,446.86
219,0.0,446.14
220,0.0,449.17
221,0.0,448.51
222,0.0,451.47
223,0.0,448.93
224,0.0,447.26
225,0.0,446.52
226,0.0,444.86
227,0.0,446.03
228,0.0,453.52
229,0.0,460.44
230,0.0,468.48
231,0.0,471.58
232,0.0,472.61
233,0.0,473.4
234,0.0,473.97
235,0.0,471.89
236,0.0,470.63
237,0.0,469.04
238,0.0,468.61
239,0.0,468.18
240,0.0,463.69
241,0.0,459.23
242,0.0,450.29
243,0.0,442.22
244,0.0,430.72
245,0.0,420.01
246,0.0,409.11
247,0.0,397.29
248,0.0,384.82
249,0.0,370.09
250,0.0,360.98
251,0.0,354.12
252,0.0,345.5
253,0.0,339.37
254,0.0,329.08
255,0.0,317.57
256,0.0,301.87
257,0.0,286.29
258,0.0,273.3
259,0.0,259.47
260,3.27,239.86
261,7.26,221.79
262,11.99,203.24
263,16.31,184.95
264,20.85,167.54
265,26.11,148.01
266,32.07,128.95
267,40.44,113.57
268,51.08,95.64
269,59.3,80.35
270,65.13,66.96
271,71.59,54.26
