sample,left_foot,right_foot
1,194.04,282.93
2,194.04,282.67
3,193.85,282.77
4,193.45,282.86
5,193.97,280.89
6,194.89,282.39
7,194.55,281.13
8,195.47,279.14
9,194.46,278.91
10,194.87,277.87
11,194.78,276.94
12,192.27,276.96
13,192.11,276.69
14,191.01,274.82
15,191.53,274.72
16,190.25,274.66
17,190.61,274.87
18,189.49,272.73
19,190.26,273.33
20,190.03,273.21
21,189.86,274.53
22,188.7,271.76
23,191.78,271.59
24,193.06,271.57
25,193.02,270.96
26,194.55,271.72
27,195.63,271.87
28,194.04,272.94
29,196.2,272.55
30,195.97,273.13
31,195.81,272.32
32,197.65,272.72
33,194.26,272.84
34,196.33,273.65
35,193.55,272.68
36,196.7,273.16
37,194.96,273.18
38,195.1,274.75
39,197.06,275.13
40,196.28,274.56
41,196.55,276.2
42,197.21,275.51
43,196.62,274.46
44,197.85,274.0
45,197.87,275.98
46,198.1,275.93
47,199.98,274.52
48,200.91,275.37
49,201.15,274.63
50,202.13,273.55
51,203.47,272.78
52,203.53,271.5
53,202.57,270.51
54,202.74,269.66
55,204.81,272.18
56,206.69,270.24
57,209.42,271.11
58,210.49,267.87
59,210.99,270.15
60,210.63,266.11
61,211.37,267.88
62,209.03,267.41
63,209.09,266.43
64,211.16,267.06
65,211.7,265.87
66,212.42,266.78
67,212.25,264.77
68,212.69,265.13
69,209.64,263.84
70,211.38,262.83
71,210.35,264.37
72,208.39,263.1
73,208.48,263.12
74,208.48,263.27
75,209.01,261.78
76,208.9,262.19
77,207.32,261.61
78,209.12,263.5
79,209.44,261.66
80,210.71,260.45
81,211.58,257.7
82,212.37,259.34
83,212.58,257.96
84,213.12,257.9
85,213.56,257.6
86,212.07,256.4
87,210.57,257.55
88,211.28,256.64
89,208.91,256.72
90,209.17,257.87
91,206.37,258.25
92,203.35,256.07
93,201.29,257.23
94,199.1,255.4
95,196.39,257.8
96,193.4,257.43
97,191.7,257.05
98,186.61,258.96
99,184.66,259.3
100,183.05,259.48
101,181.34,259.16
102,181.33,258.82
103,180.53,259.19
104,182.33,260.19
105,181.58,259.46
106,180.57,259.06
107,182.19,259.66
108,182.11,259.89
109,182.54,259.97
110,181.87,260.26
111,181.47,261.42
112,180.37,262.14
113,179.49,263.71
114,176.88,266.59
115,171.18,270.23
116,170.55,272.39
117,165.18,277.69
118,161.72,278.92
119,161.33,282.1
120,160.92,284.62
121,160.17,284.33
122,160.47,286.73
123,159.13,285.56
124,159.93,282.63
125,158.28,285.59
126,156.81,285.37
127,152.96,284.62
128,148.38,282.22
129,145.63,282.12
130,140.24,283.67
131,134.32,282.75
132,131.1,284.69
133,130.09,286.77
134,125.76,288.2
135,124.42,292.74
136,120.42,293.76
137,121.64,296.67
138,121.6,299.05
139,125.94,300.79
140,125.87,301.14
141,127.96,299.62
142,126.76,301.29
143,128.84,300.83
144,129.71,300.6
145,132.7,300.28
146,135.67,300.94
147,139.43,302.04
148,141.98,304.79
149,150.45,303.86
150,158.9,305.39
151,160.23,308.16
152,164.49,309.91
153,166.66,311.88
154,171.92,314.02
155,174.03,317.72
156,180.33,317.34
157,182.69,319.1
158,187.42,320.2
159,193.05,320.54
160,196.72,319.68
161,201.71,319.47
162,207.49,318.89
163,212.82,316.84
164,217.84,317.51
165,226.58,314.99
166,233.1,312.36
167,243.16,309.81
168,254.89,307.24
169,261.03,307.62
170,273.37,301.17
171,283.58,297.18
172,295.32,293.48
173,307.88,289.93
174,320.94,284.19
175,332.77,277.41
176,347.92,272.09
177,358.32,264.81
178,370.87,259.73
179,384.09,254.48
180,394.96,248.01
181,406.53,240.51
182,416.02,233.53
183,426.4,224.3
184,434.26,216.73
185,439.45,203.33
186,443.7,196.11
187,448.67,184.04
188,451.69,173.22
189,453.31,156.55
190,452.16,139.14
191,454.62,117.17
192,453.48,95.82
193,452.13,76.23
194,448.59,55.07
195,444.21,45.55
196,439.77,33.23
197,434.57,27.27
198,430.63,23.84
199,425.67,15.0
200,422.36,11.12
201,418.83,9.75
202,415.56,6.92
203,412.03,5.39
204,411.34,5.01
205,408.11,4.43
206,407.76,2.12
207,404.74,1.97
208,404.99,1.97
209,404.59,1.97
210,408.68,1.97
211,410.31,1.97
212,412.21,1.97
213,412.32,0.93
214,418.64,0.93
215,419.23,0.93
216,420.26,0.93
217,422.63,0.0
218,423.59,0.0
219,426.44,0.93
220,425.68,0.0
221,424.65,0.0
222,426.24,0.0
223,425.23,0.0
224,426.05,0.0
225,427.46,0.0
226,426.25,0.0
227,425.23,0.0
228,426.16,0.0
229,422.88,0.0
230,420.68,0.0
231,418.13,0.0
232,418.78,0.0
233,413.95,0.0
234,414.02,0.0
235,411.93,0.0
236,412.0,0.0
237,414.39,0.0
238,413.98,0.0
239,414.15,0.0
240,413.52,0.0
241,415.8,0.0
242,417.88,0.0
243,417.45,0.0
244,419.64,0.0
245,421.66,0.0
246,419.42,0.0
247,418.94,0.0
248,419.13,0.0
249,419.47,0.0
250,417.35,0.0
251,416.61,0.0
252,412.0,0.0
253,406.17,0.0
254,403.37,0.0
255,396.77,0.0
256,393.01,0.0
257,385.41,0.0
258,376.51,0.0
259,365.43,0.0
260,357.19,0.0
261,346.68,0.0
262,336.64,0.0
263,324.43,0.0
264,311.76,0.0
265,301.7,0.0
266,291.33,0.0
267,282.04,0.0
268,272.55,0.0
269,265.6,0.93
270,256.32,6.3
271,247.65,17.41
272,239.72,35.42
273,230.3,49.6
274,219.73,63.42
275,210.37,73.82
276,199.3,84.06
277,188.16,90.99
278,175.11,100.7
279,162.18,105.52
280,148.43,112.82
281,135.0,122.25
282,123.01,137.0
283,112.68,166.38
284,101.73,195.61
285,88.45,215.23
286,77.0,225.11
287,63.42,230.74
288,53.72,237.4
289,44.49,251.15
290,33.42,261.14
291,23.82,267.22
292,15.25,277.21
293,12.57,289.25
294,7.92,299.96
295,3.16,308.59
296,2.39,315.76
297,1.19,323.4
298,0.98,334.11
299,0.98,340.52
300,0.98,346.66
301,0.98,354.47
302,0.98,361.06
303,0.0,367.16
304,0.0,368.81
305,0.0,372.46
306,0.0,373.07
307,0.0,376.87
308,0.0,377.42
309,0.0,382.54
310,0.0,382.03
311,0.0,385.23
312,0.0,389.57
313,0.0,391.51
314,0.0,394.86
315,0.0,400.16
316,0.0,399.51
317,0.0,404.24
318,0.0,406.69
319,0.0,409.05
320,0.0,410.41
321,0.0,411.19
322,0.0,410.14
323,0.0,410.15
324,0.0,413.35
325,0.0,411.02
326,0.0,411.37
327,0.0,413.05
328,0.0,413.38
329,0.0,415.06
330,0.0,415.62
331,0.0,418.47
332,0.0,417.23
333,0.0,419.85
334,0.0,421.23
335,0.0,419.12
336,0.0,422.4
337,0.0,425.23
338,0.0,424.73
339,0.0,427.4
340,0.0,430.17
341,0.0,430.4
342,0.0,433.28
343,0.0,433.42
344,0.0,435.65
345,0.0,437.37
346,0.0,439.77
347,0.0,443.12
348,0.0,443.5
349,0.0,444.28
350,0.0,446.01
351,0.0,445.88
352,0.0,445.38
353,0.0,445.59
354,0.0,447.48
355,0.0,446.14
356,0.0,448.0
357,0.0,446.8
358,0.0,447.52
359,0.0,447.86
360,0.0,451.33
361,0.0,451.6
362,0.0,455.08
363,0.0,451.36
364,0.0,452.3
365,0.0,452.92
366,0.0,451.91
367,0.0,451.21
368,0.0,448.05
369,0.0,447.25
370,0.0,445.77
371,0.0,443.41
372,0.0,443.92
373,0.0,442.76
374,0.0,441.62
375,0.0,441.04
376,0.0,442.23
377,0.0,440.67
378,0.0,438.52
379,0.0,438.31
380,0.0,436.36
381,0.0,435.46
382,0.0,436.22
383,0.0,433.28
384,0.0,436.21
385,1.26,438.69
386,1.45,442.29
387,1.26,444.57
388,1.81,446.9
389,7.64,447.01
390,24.1,448.66
391,57.36,450.26
392,98.63,450.56
393,134.5,448.68
394,161.05,447.39
395,180.07,445.93
396,189.61,447.14
397,198.49,446.9
